timestamp,frame,objects,vehicles,persons,bicycles,cars,motorcycles,buses,trucks,other_objects,object_types,density,right_direction,left_direction,flow_rate
2026-09-10 22:10:51,60,1,1,0,0,1,0,0,0,0,"{""car"":1}",LOW,0,0,0.00
2026-09-10 22:11:12,120,1,1,0,0,1,0,0,0,0,"{""car"":1}",LOW,0,1,15.00
2026-09-10 22:11:35,180,2,2,1,0,1,0,0,0,0,"{""car"":1,""person"":1}",LOW,0,3,30.00
2026-09-10 22:11:56,240,2,2,0,0,1,0,1,0,0,"{""bus"":1,""car"":1}",LOW,0,4,30.00
2026-09-10 22:12:17,300,2,2,1,0,0,0,0,1,0,"{""person"":1,""truck"":1}",LOW,0,6,36.00
